Annie Chun’s,www.anniechun.com
Assi Brand,www.assisuperla.com
Baijia,www.scbaijia.com
Bestme,lechine.com
Binh Tay,binhtayfood.com
Ching’s Secret,www.chingssecret.com
Doll,www.doll.com.hk
Dragonfly,www.ustrading.com
Fashion Food,www.fashionfoodthailand.com
FoodMon DJ DOC,m.idoit.co.kr
Fortune,www.jslfoods.com
Gefen,www.gefenfoods.com
Goku-Uma,www.nishimototrading.com
Gomex,viethungfood.com
GreeNoodle,www.greenoodles.com
Hsin Tung Yang,www.htyusa.com
Ibumie,www.biz-allianz.com
Indomie,www.indofood.com
Itomen,www.itomen.com
JFC,www.jfc.com
JML,www.hualong.com
Kamfen,en.lechu.com.cn
Knorr,www.unilever.pk
Koka,www.revolution.com.sg
Koyo,www.koyonaturalfoods.com
Lishan Food Manufacturing Co. Ltd.,hawmaw.com
Shandong Liuliushun Food Co Ltd,liuliushun.com
Little Cook,www.namchow.co.th
Long Kow,www.crystalnoodle.com
Loveme,lechine.com
Lucky Me!,www.mondenissin.com
Maggi,www.maggi.in
Mama,www.mamalover.net
Maruchan,USA www.maruchan.comJP www.maruchan.co.jp
Menraku,www.hikarimiso.com
Mimee,www.may-baker.com
Miracle Noodle,www.miraclenoodle.com
Myojo,www.nissinfoods.com.sg
Namchow,www.namchow.co.th
Nano,www.gfood.com.vn
Nissin,USA www.nissinfoods.comJP www.nissinfoods.co.jp
Noah Foods,www.noahfoodsinc.com
Nong Shim,USA – www.nongshimusa.comKOREA – eng.nongshim.com
Noodle Time,www.noodle-time.com
Omachi,www.masanfood.com
Ottogi,www.ottogi.co.kr
Paldo,www.paldofood.com
Payless,www2.urc.com.ph
Q Brand,www.uni-president.com
Quickchow,www.zesto.com.ph
Royal Umbrella,www.royalumbrella.com.au
Saigon Ve Wong,www.aone.vn
Sakurai Foods,www.sakuraifoods.com
Samyang,www.samyangfood.co.kr
Sanyo Foods,www.sanyofoods.co.jp
Sapporo Ichiban,www.sanyofoods.co.jp
Sau Tao,www.sunshunfuk.com.hk
Shirakiku,www.nishimototrading.com
Six Fortune,www.sixfortune.ca
Snapdragon,www.snapdragonfood.com
Sunlee,www.sunlee.com
Sunny Maid,www.sunnymaid.com
TableMark,www.tablemark.co.jp
Tayho,www.tayho.com
Tat Hui,www.tathui.com
Thai Kitchen,www.thaikitchen.com
Tiger Brand,www.tigerfood.com.tw
Tradition,www.traditionfoods.com
Unif,www.uni-president.com
Ve Wong,www.vewong.com
Vedan,www.sunnymaid.com
Vifon,www.vifon.com.vn
Vina Acecook,www.acecookvietnam.com
Wai Wai,www.chaudharygroup.com
Wei Lih,www.weilih.com.tw
Westbrae,www.westbrae.com
Wu-Mu,www.sinlinfood.com